key,R,adam,best,alpha_best,rho_best,kappa_best,alpha_det,aGN,L0
"('grid3', 7, 500)",0.4772668358422002,30.380023586330008,0.31140261019201637,-20,0.5,5.0,-5,68.66314517220113,0.5042565339391692
"('grid3', 7, 550)",0.3994530800497863,725053.3484035118,0.6967381481513981,15,0.5,5.0,-5,-10.015033290085483,0.03131067139273814
"('grid3', 7, 600)",0.4985086433540439,824.0777238685637,0.9237486161925821,30,0.5,50.0,-15,-11.298257836570981,0.00032921615345695305
"('grid3', 7, 650)",0.44944390502810183,19.45987274154985,0.3107182244692955,0,0.5,5.0,10,-131.77190649763483,8.005125163299864e-06
"('grid3', 7, 700)",0.3830032542293656,50.315327651473304,0.32033342205995746,-30,0.5,10.0,5,-92.98736676796798,2.9987077730347037e-07
"('grid3', 7, 750)",0.37847369411908477,18.13096732986931,0.221324644043849,30,0.5,5.0,5,-94.08050066212174,8.058724283878006e-09
"('grid3', 7, 800)",0.37968394882282225,10.037720334710537,0.18267871466430102,30,0.5,5.0,30,-93.32556987297448,1.509400509141509e-10
"('grid3', 7, 850)",0.5101961731587596,1.7917695980504598,0.033263355596295355,-10,0.5,10.0,-5,28.125076596687226,1.9410231290406504e-12
"('grid3', 7, 900)",0.3531091592780095,4450.52508792381,0.30313493525135216,10,0.5,50.0,10,-24.807221709911623,3.1291240357463946e-13
"('grid3', 7, 950)",0.5263932155998441,123551.44717907632,0.2562095187050776,10,0.5,5.0,20,-9.129300424076865,1.3033880059865373e-13
"('grid3', 7, 1000)",0.6956546625821602,22.587877664754398,0.18311797921931194,-5,0.5,20.0,-5,-7.6337701268825855,2.381262662374196e-13
"('grid3', 7, 1050)",0.35967007369642046,22.18735330993818,0.14520389343056733,-15,0.5,5.0,30,-26.594575888889946,4.0209199387241063e-14
"('grid3', 7, 1100)",0.640755452174742,4.618888347499715,0.17375026958459266,-5,0.5,inf,30,-26.497112727015654,3.198139363705373e-13
"('grid3', 7, 1150)",0.327304523771159,3233.1179637483992,0.19836083337032034,30,0.5,5.0,30,-83.58969575440902,3.126834436560657e-14
"('grid3', 7, 1200)",0.6384203131972483,113.49523377258645,0.29321951960384346,-5,0.5,5.0,5,-43.934589120167686,4.2971142897189816e-13
"('grid3', 7, 1250)",0.6386829029986285,2822.0824245459335,0.4271168317629635,30,0.5,10.0,10,8.105426423021289,1.4363422613683079e-12
"('grid3', 7, 1300)",0.4747051833597447,2464.4478748626498,0.3264795784527702,-5,0.5,5.0,20,3.0096951604445374,2.025763316797533e-13
"('grid3', 7, 1350)",0.6995755628367865,17191.476863014785,0.40634563433960785,30,0.5,5.0,10,20.613201666334756,3.0364111941391043e-13
"('grid3', 7, 1400)",0.5820367565052853,25038.902796114846,0.383067418731589,-30,0.5,10.0,-5,-13.172474415116412,5.658970011357338e-13
"('grid3', 7, 1450)",0.574167574928721,3.8136518173534055,0.3461052887205718,0,0.5,10.0,0,-46.74087082340065,3.4689881058624746e-13
"('grid3', 7, 1500)",0.39805977217512967,13013353.697020506,0.43485219259095387,-30,0.5,10.0,15,-45.48752999818207,5.341236033425183e-14
"('grid3', 7, 1550)",0.7356514281737927,376627.50159998087,0.4818339805012535,5,0.5,5.0,10,96.17068092968404,4.663858349295977e-13
"('grid3', 7, 1600)",0.5453569768084784,8.133691845541268,0.4312514307014782,-5,0.5,inf,30,-18.672522431003436,8.800833310569227e-13
"('grid3', 7, 1650)",0.7248734774215924,2855287.733933157,0.48992002648693606,15,0.5,5.0,-20,59.782237967271115,2.430667960389423e-13
"('grid3', 7, 1700)",0.7599722637460656,9888801.00064611,0.5708665166344798,15,0.5,20.0,15,-7.604789738815083,5.103362125061581e-13
